replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,22.16547,22.18566,-4.6159,0.0052501466,0.0017230526,0.010446122,0.0014620248,0.0031140852,0.0013935618,0.0067900163,-0.00014726946,4.6743255,0.60439026,6.1625714,2.8697078,-4.6130123,0.5575484,-2.9750695,-5.7644377,4.17546e-05,0.001380371,0.0033794516,-0.003096396,-0.0003468609,0.0012658777,0.0018008135,-0.003656094,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.029347413973706573,0.049547447706941736,0.31417062125804923,7.33074998679781e-06,14.67370698685329,10.281700265494042,27.505081211567006,0.41932414094221276,-0.0026891832,0.6253358,0.99896115,-0.9993462,5,14.67370698685329,2500,5,500.0,0.0,500,500,0.012995337793294943,0.0018136870827570178,0.016384498839571136,0.00900084178017825,6.497668896647471,0.8215118970062035,7.496551789751987,5.190289917234772,6.497668896647471,0.8215118970062035,7.496551789751987,5.190289917234772,-9.441277e-05,0.001228743,0.0019085304,-0.0023853146,5,6.497668896647471,0.0122874709777534,21.12914124201052,21.49504602793604,0.01124868099577725,0.007916225120425224,6.857312861131504,49.51295250817202,80.52268296806142,0
8300,0.014597366,0.014669741,-7.629055,2.9081707,0.062548324,3.1000614,2.6835442,2.9067893,0.06414763,3.075383,2.688543,2.9129605,0.12705834,3.5459218,2.6653657,-4.7288,0.28665423,-3.9979599,-5.7066116,-0.0031501357,0.0177746,0.035596754,-0.04592492,-0.12277962,0.010720573,-0.09122389,-0.15585685,0.3673991858959198,-11.732396125793457,8300,17,500.0,0.0,500,500,0.01611718166387455,0.03177022747213764,0.2378063592246344,1.4241254087110633e-07,8.058590831937275,6.8677305884455375,20.152071084564597,1.065569294685046,-0.0022680722,0.59021693,0.99758714,-0.99724877,5,8.058590831937275,5000,10,500.0,0.0,500,500,0.02539403580863622,0.011243320181739905,0.061802711552551334,0.007120561904607254,12.69701790431811,3.0507207512711556,18.041339638285493,9.40944491216608,12.69701790431811,3.0507207512711556,18.041339638285493,9.40944491216608,-0.0027608888,0.017599862,0.026115982,-0.033997837,5,12.69701790431811,0.01229528896510601,21.53107756911777,21.600843843072653,0.012099249986931682,0.007768917828798294,6.684560114052147,49.848644983023405,130.37301301700063,1
10800,0.0023636664,0.0023122737,-7.459227,2.6948576,0.059242275,2.8903434,2.5329792,2.6961489,0.060929026,2.8915296,2.5062368,2.686374,0.07343492,2.9731505,2.5227127,-4.7718463,0.32077903,-4.0689697,-6.119088,0.0042518713,0.009657957,0.022991195,-0.013570802,-0.12497299,0.009039306,-0.096584484,-0.14536005,0.13516244292259216,-23.546966552734375,10800,22,500.0,0.0,500,500,0.017068923415316777,0.03299381751833068,0.25499028659752576,1.6894730108734596e-08,8.53446170765839,9.869646306747228,24.136534505119553,0.4967095589838564,0.0019438636,0.5867808,0.99627316,-0.9975534,5,8.53446170765839,7500,15,500.0,0.0,500,500,0.0035634773403515666,0.003150016892959739,0.013176150071789985,0.00029189789073545843,1.781738670175784,0.4902696737643913,2.268667313459096,0.9285033578338079,1.781738670175784,0.4902696737643913,2.268667313459096,0.9285033578338079,0.002896114,0.010583301,0.019198088,-0.01134752,5,1.781738670175784,0.012253378983587027,21.194191936869174,21.688637365121394,0.011930650100111961,0.007668782025575638,6.65601922897622,49.57070134207606,179.94537756824866,2
13300,0.0010447579,0.0010881774,-7.437502,2.6626704,0.08663803,3.0289092,2.3639526,2.6608372,0.086110495,3.0392728,2.368402,2.6588404,0.09372634,3.133272,2.4335866,-4.7819333,0.3151203,-3.9511232,-5.624646,0.007357585,0.021810813,0.08760292,-0.033200394,-0.10218673,0.00813604,-0.08069793,-0.1245362,0.04972880706191063,-35.347816467285156,13300,27,500.0,0.0,500,500,0.0038080827159941598,0.009268065530462957,0.09314746131233301,8.471460954950771e-08,1.904041357997079,1.888148662904072,5.417293917474082,0.21375369654810863,0.006189712,0.599291,0.999668,-0.9997155,5,1.904041357997079,10000,20,500.0,0.0,500,500,0.006254989783713629,0.0031909285462992216,0.014111933046048433,0.0012765328254876133,3.127494891856815,0.7949500792127119,3.9920799612764135,1.769373842549605,3.127494891856815,0.7949500792127119,3.9920799612764135,1.769373842549605,0.0005120804,0.012955116,0.051655583,-0.025029216,5,3.127494891856815,0.012216984061524272,20.437227570917457,21.570530813885853,0.011200599139556289,0.005169078940525651,6.608004948822781,48.6443499957677,228.59137883712538,3
15800,0.00048208365,0.00053114654,-7.3064947,2.6467333,0.10040695,2.956221,2.3952599,2.647973,0.09841822,2.9509351,2.4033203,2.6392174,0.096647315,2.9991617,2.40579,-4.6619205,0.45354953,-3.4776466,-5.9550858,-0.010105871,0.07868111,0.43923202,-0.16897869,-0.07144605,0.014829234,-0.02259536,-0.11188176,0.01831524446606636,-46.636314392089844,15800,32,500.0,0.0,500,500,0.010094396425975516,0.013375472205209486,0.11381107491727416,3.1785934353736576e-07,5.047198212987759,2.5053320176265874,9.975261945599348,3.0532286172034824,-0.012548375,0.60842276,0.99856573,-0.9969522,5,5.047198212987759,12500,25,500.0,0.0,500,500,0.003665832060032356,0.004932192131348371,0.022957598150831374,7.104941430253258e-08,1.8329160300161782,0.7503118980449387,3.3132389485215454,1.2885596878873382,1.8329160300161782,0.7503118980449387,3.3132389485215454,1.2885596878873382,-0.012933711,0.041356742,0.18770368,-0.16709079,5,1.8329160300161782,0.012389085022732615,20.98576115909964,21.521858906839043,0.011134509928524494,0.005072562023997307,6.774217825848609,49.310434048762545,277.90350369596854,4
18300,0.0009282347,0.0008876367,-6.9763436,2.622768,0.13413456,3.1891472,2.3372304,2.6200264,0.1320246,3.1926937,2.3362756,2.6129637,0.13578618,3.2531686,2.345226,-4.3563986,1.1282711,-0.5000684,-7.094657,-0.03973722,0.29389006,1.3695024,-1.0190301,-0.029406859,0.041876405,0.07751241,-0.19152388,0.006804056465625763,-56.660125732421875,18300,37,500.0,0.0,500,500,0.013389641466096874,0.03647281312392666,0.38932123275870534,1.343435486313006e-10,6.6948207330484335,2.815245083047931,11.536950482387494,3.128513088877674,-0.033341523,0.63383424,0.99944454,-0.9985136,5,6.6948207330484335,15000,30,500.0,0.0,500,500,0.003000559507203112,0.010919295910811559,0.11126581914843796,3.312658739910527e-09,1.5002797536015575,0.3456377568753434,1.963990427032859,1.007537021516597,1.5002797536015575,0.3456377568753434,1.963990427032859,1.007537021516597,-0.06361785,0.18827918,0.50410026,-0.6314185,5,1.5002797536015575,0.012281861854717135,20.835578324040398,21.12216193205677,0.013460915070027113,0.006862402893602848,6.72201204393059,48.712357479846105,326.617470534984,5
20800,0.001523124,0.0011387715,-4.7587376,2.6248622,0.1645613,3.2556896,2.2995007,2.6248555,0.16130091,3.2606485,2.299238,2.6235907,0.16798832,3.3948643,2.3229399,-2.1256394,2.9193366,5.1541686,-8.286657,-0.0975578,0.7792182,3.02934,-1.8343295,-0.033561107,0.15501127,0.35659206,-0.6940223,0.0027148500084877014,-53.91606140136719,20800,42,500.0,0.0,500,500,0.008471148135829125,0.023139205009335168,0.20987207734699959,2.696203754087239e-11,4.235574067914562,2.4278379424642575,7.6054974245883935,0.10969555503654356,-0.056014527,0.6662426,0.9997534,-0.99983436,5,4.235574067914562,17500,35,500.0,0.0,500,500,0.007444496336993712,0.02680378421219358,0.31216200809582106,1.9120423762804723e-10,3.7222481684968565,5.899509044766528,15.503552399751554,0.21966537650494844,3.7222481684968565,5.899509044766528,15.503552399751554,0.21966537650494844,-0.09598454,0.40684935,0.9944583,-0.9940756,5,3.7222481684968565,0.012216410133987665,21.504516087006778,20.8968685020227,0.011083298828452826,0.0064856240060180426,6.596933163935319,49.02810308593325,375.64722791686654,6
23300,0.001002773,0.00045604035,1.6168687,2.6177883,0.15996347,3.1808593,2.2731602,2.601609,0.1513591,3.133023,2.267473,2.5989041,0.151659,3.1132584,2.2675464,4.244921,4.1373134,13.872314,-7.7014594,-0.43174013,1.3473864,2.9449496,-2.9661415,-0.19021508,0.28059927,0.45403838,-0.8601959,0.0013451144332066178,-18.213247299194336,23300,47,500.0,0.0,500,500,0.01385308381119168,0.04285748756928419,0.36952762733484834,3.3194372366867555e-07,6.926541905595836,4.068617526899566,11.574010023399568,1.1651487849451037,-0.18119277,0.72459924,0.9999312,-0.9999306,5,6.926541905595836,20000,40,500.0,0.0,500,500,0.028864484593849188,0.05721144255725086,0.40879790196174237,8.828648215381602e-05,14.432242296924594,12.293422071187088,34.28296386276314,1.377254814824179,14.432242296924594,12.293422071187088,34.28296386276314,1.377254814824179,-0.20846584,0.6444432,0.99711764,-0.9979803,5,14.432242296924594,0.012310517951846123,21.414120379136875,21.77526193507947,0.01117699290625751,0.006339445011690259,6.835507485084236,50.054716755170375,425.70354741765186,7
25800,0.0006647889,0.00079299975,1.3240165,2.6325724,0.19691718,3.297319,2.140421,2.638524,0.19238707,3.2954898,2.1378043,2.6387358,0.18658526,3.2430565,2.1563914,3.9833484,4.6779613,15.611206,-5.378996,-0.3479469,1.3986379,3.0679255,-2.918618,-0.25212213,0.2500135,0.6768468,-0.8461543,0.0008913224446587265,-21.18431854248047,25800,52,500.0,0.0,500,500,0.00580202191854913,0.009836437341628184,0.10582430992227365,9.983836826209389e-05,2.9010109592745654,1.4930655785526088,5.7679253239317205,1.6990434135568189,-0.19188811,0.6578677,0.9995214,-0.9997976,5,2.9010109592745654,22500,45,500.0,0.0,500,500,0.008012015026561207,0.010145592542145296,0.058532694327429406,0.00019574743367304728,4.006007513280606,3.9697040210554744,10.943040993558593,0.7593463551902159,4.006007513280606,3.9697040210554744,10.943040993558593,0.7593463551902159,-0.2558118,0.4590078,0.98315394,-0.9950474,5,4.006007513280606,0.012439488898962736,21.858888908987865,21.986806195927784,0.011075014946982265,0.006548133911564946,6.7473585940897465,50.623116336762905,476.32835632073693,8
28300,0.002087458,0.0024100048,3.3668177,2.7040486,0.3055609,3.9883723,2.1384645,2.7066455,0.30650744,3.9874256,2.1475093,2.7015083,0.31162712,4.007514,2.1367898,6.092763,4.827471,28.368454,-5.387325,-0.14866118,1.5926911,3.447603,-3.0169334,-0.3435429,0.27067778,0.607508,-0.8968973,0.0007554162875749171,-6.521284103393555,28300,57,500.0,0.0,500,500,0.11879565963691034,0.10486579369865225,0.4394014899771818,0.0005747600642617515,59.39782981845517,29.239152585737823,88.74044715573596,8.556893533767314,-0.17194693,0.64603734,0.9995108,-0.99958897,5,59.39782981845517,25000,50,500.0,0.0,500,500,0.26157863966565154,0.11655080839972998,0.41742908125519096,0.007459332040621793,130.78931983282575,50.92869239594224,191.84116931058543,74.18048230319188,130.78931983282575,50.92869239594224,191.84116931058543,74.18048230319188,-0.16560341,0.47729594,0.9867244,-0.9850298,5,130.78931983282575,0.012130769900977612,22.488663333002478,22.138597739161924,0.011112901847809553,0.0050097000785171986,6.809453055029735,51.46496749902144,527.7949373179581,9
