replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,28.859138,28.856647,-5.2846794,0.0006329321,0.0007705379,0.0025625539,-0.00225684,0.00086132233,0.00069762085,0.0022404923,-0.0005154207,5.332843,0.65315306,6.8294134,3.362894,-5.284352,0.62622315,-3.5887442,-6.7643213,0.00040814612,0.0016917259,0.003482988,-0.0029663139,0.00011390212,0.0018315294,0.0039815707,-0.003308214,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.00045505302906687534,0.0005406068209677141,0.002304570233130053,3.143129947336121e-06,0.22752651453343767,0.11853168424846507,0.43400232763070157,0.07850732754564804,-0.0022388326,0.6252175,0.99897325,-0.99933743,5,0.22752651453343767,2500,5,500.0,0.0,500,500,0.0018546691842131636,0.0005331308818429541,0.002873008355436557,0.0008662948387911978,0.9273345921065819,0.25945562791248356,1.2819337064708203,0.4804733853364083,0.9273345921065819,0.25945562791248356,1.2819337064708203,0.4804733853364083,0.0004252869,0.0016903341,0.00327308,-0.0027359326,5,0.9273345921065819,0.012903940863907337,180.933538824087,179.87171556800604,0.011736821150407195,0.009209146024659276,7.048784195911139,367.88788849604316,611.6285103783011,0
8300,0.01201649,0.0122148115,-8.555332,3.1613004,0.021676054,3.2051024,3.0867097,3.1597586,0.026112951,3.2114046,3.0661507,3.1683946,0.11038802,3.5750918,2.904282,-5.3991256,0.28434637,-4.7070045,-6.6200933,-0.010632884,0.012432329,0.01632678,-0.030500254,-0.13360089,0.006852661,-0.12385936,-0.1495829,0.3674107491970062,-13.402812957763672,8300,17,500.0,0.0,500,500,0.0014038736954435675,0.0015733958269223678,0.00914601827943559,5.297147227227109e-06,0.7019368477217834,0.3428444264360651,1.3711119611402056,0.44684567996272057,-0.005874948,0.58672684,0.99731004,-0.9974221,5,0.7019368477217834,5000,10,500.0,0.0,500,500,0.0009776916647526229,0.0006560011866389257,0.002512793923593263,5.826775774991293e-05,0.48884583237631174,0.1974075350071886,0.8017944270317552,0.28684126886502653,0.48884583237631174,0.1974075350071886,0.8017944270317552,0.28684126886502653,-0.01062144,0.012452017,0.015671635,-0.03022474,5,0.48884583237631174,0.01261546416208148,180.7274665250443,183.54454558202997,0.011123206000775099,0.0055266390554606915,6.654893188038841,370.9561706043314,982.5864594525192,1
10800,0.0016107198,0.0016435215,-8.348535,2.8894358,0.017256236,2.9216158,2.8348722,2.889261,0.018092109,2.9285238,2.823035,2.892684,0.04170541,3.028402,2.7859938,-5.461833,0.33733994,-4.526805,-6.898026,0.000554263,0.0069491593,0.008709625,-0.016739901,-0.13349746,0.005693683,-0.121424705,-0.14256574,0.1351623833179474,-26.927417755126953,10800,22,500.0,0.0,500,500,0.0007870222862347972,0.0010296003372265257,0.006361204308951743,3.372096218849189e-06,0.3935111431173989,0.34452613319542547,1.0653630818355033,0.1417928307407667,-0.0022948363,0.58518016,0.9963776,-0.99735326,5,0.3935111431173989,7500,15,500.0,0.0,500,500,0.0022001125925781287,0.0003896653670414694,0.002869247717706407,0.001289293964554429,1.100056296289064,0.15487831298795848,1.261123515086347,0.8098574011547618,1.100056296289064,0.15487831298795848,1.261123515086347,0.8098574011547618,0.00063397177,0.006997603,0.008248728,-0.016143976,5,1.100056296289064,0.012245632009580731,174.46335462201387,172.37124770903029,0.011393188033252954,0.005200388841331005,6.93323422386311,353.7966757637914,1336.3847719617188,2
13300,0.0002250935,0.00023996146,-8.284456,2.837195,0.01989148,2.8696456,2.7646961,2.8377042,0.018937998,2.8716476,2.7754848,2.8370328,0.02360295,2.9079068,2.7440734,-5.448779,0.32481542,-4.545211,-6.419737,0.0019900808,0.0037263557,0.008128151,-0.0037763836,-0.11891222,0.004816595,-0.10750151,-0.12909226,0.049723148345947266,-40.35017013549805,13300,27,500.0,0.0,500,500,0.0011420565387088662,0.0011282894657215399,0.005748617991027377,3.317708835931891e-05,0.5710282693544333,0.23768237778792503,0.9089681714665794,0.2563986395529429,0.005535893,0.5937063,0.9995768,-0.9997317,5,0.5710282693544333,10000,20,500.0,0.0,500,500,0.001522055604754806,0.000404299171233308,0.002608707819073065,0.0010299211147511262,0.7610278023774029,0.19468836048224547,1.1208265784920322,0.5525893692767824,0.7610278023774029,0.19468836048224547,1.1208265784920322,0.5525893692767824,0.0020689687,0.0037818428,0.007360338,-0.003587651,5,0.7610278023774029,0.012634929036721587,173.66365622007288,180.05598508100957,0.012070555938407779,0.006259534042328596,6.960886012064293,360.7114923321642,1697.0979397506453,3
15800,4.1636424e-05,3.8244532e-05,-8.2316475,2.8056922,0.018556861,2.8353553,2.7449539,2.805766,0.017699668,2.8348908,2.7361166,2.8058972,0.01820059,2.8365843,2.731333,-5.427077,0.306381,-4.800985,-6.3344474,-0.0011205578,0.008601563,0.011435486,-0.012130003,-0.11235201,0.0029466134,-0.106764525,-0.119335756,0.018292464315891266,-53.71188735961914,15800,32,500.0,0.0,500,500,0.0016179495807274187,0.0019409062228532392,0.011452622016251102,1.6866031662488014e-05,0.8089747903637086,0.5589953922794831,1.6084100661567435,0.15513027156482087,-0.003587792,0.5934872,0.99761146,-0.995752,5,0.8089747903637086,12500,25,500.0,0.0,500,500,0.002464588721937751,0.0013316640104832117,0.006513556447709431,0.0012123555764526925,1.2322943609688752,0.6033484205721328,2.3602310341851647,0.7042590844180237,1.2322943609688752,0.6033484205721328,2.3602310341851647,0.7042590844180237,-0.001001515,0.008672004,0.011346204,-0.011600695,5,1.2322943609688752,0.012745050946250558,177.6787955649197,177.43524264497682,0.01161446887999773,0.005331579130142927,6.829527299851179,361.9732566087041,2059.073391749058,4
18300,1.1785444e-05,8.244724e-06,-8.267351,2.7806153,0.018290423,2.8065083,2.731812,2.7803285,0.018630994,2.807176,2.7299151,2.7797613,0.019066101,2.8100653,2.7316554,-5.487936,0.3647863,-4.673623,-6.8935366,-0.00054614735,0.020976266,0.030837081,-0.037074603,-0.10245706,0.0020321277,-0.09584491,-0.10740587,0.006730914581567049,-67.44027709960938,18300,37,500.0,0.0,500,500,0.0008882254390523468,0.0010062527704318709,0.0046453793608719415,1.847788274932248e-06,0.4441127195261732,0.15905155283001293,0.6853927597930783,0.24706972076113223,0.0023123561,0.5997384,0.9984469,-0.999096,5,0.4441127195261732,15000,30,500.0,0.0,500,500,0.002841334708595893,0.0015410898218151615,0.005901993205270608,0.0005604767687129215,1.420667354297946,0.678582289348875,2.2310182249153123,0.635700972916108,1.420667354297946,0.678582289348875,2.2310182249153123,0.635700972916108,-0.00045353302,0.021154499,0.030630725,-0.036339868,5,1.420667354297946,0.012605499941855669,180.54576951405033,180.10250229993835,0.013025749940425158,0.0077048169914633036,6.9568816418759525,367.6384895227384,2426.713566190563,5
20800,3.3156293e-06,4.2003153e-06,-8.158812,2.752002,0.020496758,2.7817824,2.6884305,2.7516103,0.02038104,2.784537,2.6881151,2.7518835,0.02056341,2.7822926,2.6879303,-5.407763,0.42901197,-4.249137,-6.7446012,-0.003871065,0.040476926,0.05325024,-0.08411364,-0.08504976,0.005602331,-0.059139747,-0.093198836,0.00247767916880548,-80.4389877319336,20800,42,500.0,0.0,500,500,0.0012615229757915415,0.0017003722909429459,0.012810635152536371,7.866909777436919e-08,0.6307614878957708,0.4119214509161414,1.230615599251384,0.08556475697613884,-0.0024880748,0.60172755,0.9989967,-0.9984511,5,0.6307614878957708,17500,35,500.0,0.0,500,500,0.0022304247769414694,0.0018783760271606008,0.007057689621871709,5.310620382465498e-05,1.1152123884707348,0.32422498857106324,1.642605760380695,0.7711824142672646,1.1152123884707348,0.32422498857106324,1.642605760380695,0.7711824142672646,-0.0038827488,0.04161399,0.053041175,-0.08344159,5,1.1152123884707348,0.013057132950052619,177.58898731088266,177.94761547003873,0.011913829017430544,0.005350682884454727,7.198851269902661,362.765775695676,2789.481042355532,6
23300,4.8392003e-06,3.4709747e-06,-7.9453135,2.7255964,0.021801636,2.7566414,2.6239018,2.7248921,0.021646887,2.754444,2.6241221,2.7243252,0.021097995,2.7525299,2.629597,-5.2202888,0.8410686,-3.333674,-7.094562,-0.006531577,0.18163474,0.29621083,-0.4318249,-0.032220572,0.031503875,0.094596244,-0.09540978,0.0009141082991845906,-92.49671936035156,23300,47,500.0,0.0,500,500,0.00040824324645945487,0.0012046870484724204,0.00912177890694814,2.9519401244392106e-10,0.20412162322972732,0.1625966261147979,0.5128532559092227,0.05626916717460269,0.003132577,0.634663,0.99941313,-0.99944377,5,0.20412162322972732,20000,40,500.0,0.0,500,500,0.0008431506316891604,0.0010937219124478002,0.006661664873857306,1.654778832479072e-10,0.42157531584458036,0.19724995478325016,0.7521364873275945,0.16202126613196285,0.42157531584458036,0.19724995478325016,0.7521364873275945,0.16202126613196285,0.00035982634,0.16020533,0.28540465,-0.4038815,5,0.42157531584458036,0.012742329854518175,179.57268717698753,180.64090643194504,0.011388560058549047,0.005192074924707413,6.99866020004265,367.241576773813,3156.7243828061037,7
25800,9.7461425e-06,2.7677106e-05,-6.749955,2.683821,0.06971196,2.7304523,2.319369,2.6856809,0.067038245,2.7327256,2.3402596,2.6832738,0.07070367,2.7291617,2.3100445,-4.065564,2.1165643,6.626303,-7.607341,0.0076312423,0.41384995,0.9315818,-1.5342369,0.0703454,0.19310324,0.82313865,-0.20955436,0.0003456365375313908,-96.152587890625,25800,52,500.0,0.0,500,500,0.0008112898774018941,0.0015189391463935264,0.007758506806871828,1.2389686313933148e-10,0.405644938700947,0.39689033942600743,1.145603387243527,0.05401173742392182,-0.011607046,0.7334361,1.0,-0.99999976,5,0.405644938700947,22500,45,500.0,0.0,500,500,0.0006584642169197326,0.0015713494879226976,0.012836623767818849,2.496993920273225e-10,0.32923210845986606,0.2732773511342005,0.8415384551384695,0.07675951662375217,0.32923210845986606,0.2732773511342005,0.8415384551384695,0.07675951662375217,0.030911846,0.43188974,0.7451358,-0.9199924,5,0.32923210845986606,0.012710035080090165,173.6910667391494,179.73350835009478,0.011806461960077286,0.007380390074104071,6.83466131798923,360.2911332943477,3517.017171802232,8
28300,0.00016712735,0.00018241555,-2.1461616,2.6313612,0.1663307,2.7166758,1.9804579,2.6289024,0.16036546,2.711735,1.988094,2.6192927,0.16791028,2.7057064,1.9581281,0.4803845,5.578277,28.713316,-6.575902,0.34278214,0.96839553,2.8124547,-2.5905082,0.053295523,0.34780857,1.3716778,-0.9564129,0.00015683833044022322,-65.86947631835938,28300,57,500.0,0.0,500,500,0.00039019696253291567,0.0017288457450096522,0.019381473415852214,3.757368737132714e-11,0.19509848126645787,0.1674214604482017,0.5149598178604347,0.06855331863786153,0.32433206,0.7017755,1.0,-0.99999994,5,0.19509848126645787,25000,50,500.0,0.0,500,500,0.00014095201650234684,0.0006344397300699964,0.006347846922218162,4.240396675767341e-11,0.07047600825117341,0.02765014138357149,0.12396469500924094,0.04392047760624649,0.07047600825117341,0.02765014138357149,0.12396469500924094,0.04392047760624649,0.4493184,0.5635099,0.95904475,-0.9293883,5,0.07047600825117341,0.012576829874888062,177.96032708114944,173.24977550515905,0.011477143969386816,0.0051801190711557865,6.690115385921672,357.9294520651456,3874.948699799832,9
