replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,22.333199,22.328184,-4.6141834,0.00020631388,0.0010615415,0.002666673,-0.0020273025,0.00072033115,0.0014488703,0.0043309396,-0.0026621157,4.688229,0.5963216,6.0945215,2.8521643,-4.614458,0.55624455,-3.0038552,-5.755213,0.0007147196,0.0013106661,0.0050501637,-0.0014102843,-0.00049042737,0.00096708856,0.0017031434,-0.0031107194,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.05242583408174265,0.06712032201213966,0.3220050018722009,-0.0001834934229582351,26.21291704087132,19.53323519160629,55.747582753559314,0.3299746553738582,-0.0023014676,0.6253008,0.99896604,-0.9993453,5,26.21291704087132,2500,5,500.0,0.0,500,500,0.008193267532405494,0.00243680131430602,0.011380606033533573,0.0035089673333240866,4.096633766202748,1.2159090442373925,5.631176669211373,1.9446734016901233,4.096633766202748,1.2159090442373925,5.631176669211373,1.9446734016901233,0.0006920361,0.0013703816,0.0033819072,-0.0010158499,5,4.096633766202748,0.012796527007594705,176.31361585203558,202.36437398404814,0.012214778922498226,0.010095302015542984,6.095293086022139,384.8083895300515,700.7000372670591,0
8300,0.014951382,0.015469528,-7.5973907,2.8783855,0.07990092,3.1990187,2.652762,2.8855362,0.07066185,3.1559951,2.7340846,2.8883421,0.14595763,3.4424298,2.6331878,-4.7254205,0.28604496,-3.9029646,-5.6913953,-0.005624854,0.015221268,0.023777874,-0.04166312,-0.12469292,0.008599772,-0.10263059,-0.15545298,0.367403507232666,-11.728879928588867,8300,17,500.0,0.0,500,500,0.02534251889217128,0.049972253627285024,0.3597792503871425,-0.000469649568637218,12.671259446085642,16.90171212969544,44.144643699109245,0.04825460894580074,-0.0040838337,0.58883613,0.99772173,-0.99715286,5,12.671259446085642,5000,10,500.0,0.0,500,500,0.031832139919529386,0.024589680064401934,0.11954197667729041,0.005337132341137124,15.916069959764693,6.344873591947416,27.943287943187592,10.6328461769234,15.916069959764693,6.344873591947416,27.943287943187592,10.6328461769234,-0.0058698943,0.015289213,0.017442532,-0.03433205,5,15.916069959764693,0.012560688890516758,177.76991172111593,199.3700937309768,0.011723744915798306,0.008190862135961652,6.714438469149172,383.8869192171842,1084.5888036079705,1
10800,0.0041926205,0.004144975,-7.4396734,2.675946,0.115752615,3.1265032,2.5056303,2.6792808,0.11448702,3.0946062,2.4927588,2.6817203,0.12322294,3.2857397,2.4918826,-4.7694902,0.3131508,-4.043048,-6.1454234,0.0062390715,0.013028388,0.035974994,-0.009450314,-0.13019793,0.009584709,-0.10570195,-0.15680008,0.13516318798065186,-23.542192459106445,10800,22,500.0,0.0,500,500,0.041254551454772664,0.08277577362085684,0.5192097871846492,-0.0003557190302357485,20.627275727386337,27.99490247156734,71.83916664119536,0.26126612455050885,0.003224538,0.5856027,0.9959101,-0.99734634,5,20.627275727386337,7500,15,500.0,0.0,500,500,0.01164750997665754,0.002568974524900708,0.016417163435659167,0.007170039412889837,5.823754988328768,1.1616717863980979,7.552540392735684,4.513678219202121,5.823754988328768,1.1616717863980979,7.552540392735684,4.513678219202121,0.0053459853,0.011502378,0.028114574,-0.0068042795,5,5.823754988328768,0.01271221786737442,175.10023555206135,198.1505337639246,0.011561246123164892,0.005821136059239507,6.692210071021691,379.97307398705743,1464.5638039524201,2
13300,0.0019060583,0.0018702853,-7.416334,2.6548138,0.15625343,3.2860453,2.450934,2.651064,0.15251194,3.2404313,2.4593163,2.6496487,0.15818913,3.3580544,2.4873972,-4.7728834,0.3181349,-3.8474422,-5.466669,0.003108917,0.032313924,0.14772156,-0.09380754,-0.104023755,0.007559744,-0.06737611,-0.1307517,0.04973366856575012,-35.319522857666016,13300,27,500.0,0.0,500,500,0.046709527850584326,0.08480615269146273,0.5108352500444897,-0.00024267283888667674,23.35476392529216,32.113748774423726,84.95066252619905,0.025220485772872163,0.0033580433,0.5977184,0.99965465,-0.99972016,5,23.35476392529216,10000,20,500.0,0.0,500,500,0.02240569724841453,0.01886049563206871,0.1068678691496205,0.0012097660692372712,11.202848624207268,4.963148740444391,20.70986545772061,6.108827144690896,11.202848624207268,4.963148740444391,20.70986545772061,6.108827144690896,-0.0033836395,0.029972823,0.053452943,-0.056382846,5,11.202848624207268,0.012587679084390402,172.45246875402518,204.49209035397507,0.011750362813472748,0.007657534908503294,6.615641684969887,383.5921963697765,1848.1576581571717,3
15800,0.0026348033,0.0036439667,-7.297695,2.716419,0.27437264,3.5856566,2.3248806,2.7073214,0.26952237,3.561201,2.184992,2.7187607,0.29462388,3.5871854,2.2930114,-4.592997,0.57603806,-2.8885407,-5.931506,-0.0077814176,0.14820147,0.5174716,-0.73824936,-0.08210111,0.01806412,-0.047536813,-0.17964338,0.018344372510910034,-46.34233093261719,15800,32,500.0,0.0,500,500,0.11483031496280478,0.14643621467730816,0.5313917796259626,-0.00496513673647471,57.41515748140239,53.279109532742545,158.15522371927008,9.842942380684159,-0.0074935197,0.60765386,0.9982315,-0.9962225,5,57.41515748140239,12500,25,500.0,0.0,500,500,0.029414645767820064,0.04972489701815233,0.25555256239797874,-0.003320363800206068,14.707322883910033,12.407654358090218,38.959472808225,6.0976927834586085,14.707322883910033,12.407654358090218,38.959472808225,6.0976927834586085,-0.022806054,0.11247487,0.3949864,-0.5536971,5,14.707322883910033,0.012736747972667217,211.83778913808055,382.33943211403675,0.011200658977031708,0.005152300000190735,6.614335531136021,600.8206464902032,2448.9799284911714,4
18300,0.0025994538,0.0028833859,-6.237344,2.740821,0.3323787,3.8370082,2.00509,2.742076,0.33596405,3.8311331,1.9738963,2.743548,0.33008865,3.8868423,2.103453,-3.496511,1.672631,0.5524645,-7.336617,0.050163902,0.49984205,1.3502942,-1.3715048,-0.089763045,0.09913923,0.04149811,-0.3946438,0.0069393496960401535,-52.16354751586914,18300,37,500.0,0.0,500,500,0.03124589560515424,0.07481199029006727,0.484914218104876,-0.012231270396048197,15.622947802577116,12.148199304283596,27.207423592166027,-0.5311526134872555,0.045331117,0.6372066,0.99965924,-0.9983034,5,15.622947802577116,15000,30,500.0,0.0,500,500,0.10516592792212665,0.05171473663987181,0.476392420455305,0.005238627950828769,52.582963961063356,7.5060593834628335,60.60968498948689,40.748053803485874,52.582963961063356,7.5060593834628335,60.60968498948689,40.748053803485874,0.114626236,0.43296054,0.8939305,-0.9185837,5,52.582963961063356,0.012547150021418929,293.64886499987915,257.5052395069506,0.011775598861277103,0.008284015813842416,6.821824229089543,558.0085355006158,3006.990065527847,5
20800,0.002264098,0.004913666,-3.039341,2.7527714,0.38441867,4.2427664,2.136281,2.7552514,0.38120872,4.1358953,2.1331346,2.7434287,0.38737,4.167205,2.179371,-0.27457726,3.399298,8.691644,-7.740506,0.040539443,1.035524,2.6455657,-2.2494264,-0.17282288,0.2083058,0.36825716,-0.784672,0.002899735001847148,-42.50090789794922,20800,42,500.0,0.0,500,500,0.038247936287681944,0.07074352818379186,0.37323816530437703,-0.010917051552562876,19.123968143840962,14.393032095521884,42.89263476637216,2.1452439513892054,0.029485341,0.7154685,0.99967813,-0.9997867,5,19.123968143840962,17500,35,500.0,0.0,500,500,0.013416098117022247,0.040839268725458996,0.347952989708916,-0.0020031435632239473,6.708049058511127,3.46998510521547,12.70149526821053,2.428797826645142,6.708049058511127,3.46998510521547,12.70149526821053,2.428797826645142,-0.0059097125,0.47485763,0.99434555,-0.9966482,5,6.708049058511127,0.012658858904615045,188.88126580999233,224.46178659494035,0.011124429991468787,0.0077738778200000525,6.615254637086764,419.9898642087355,3426.9817712870426,6
23300,0.005381693,0.0036433274,0.7517543,2.8635736,0.56366557,4.9131784,2.1779869,2.8396144,0.5611917,4.9289646,2.1609826,2.8466215,0.5561716,4.87899,2.208482,3.6185062,4.6519256,17.296896,-5.202822,-0.26000172,1.3249565,2.498971,-3.92558,-0.2729577,0.24359116,0.36811283,-0.90425026,0.0015114790294319391,-21.96016502380371,23300,48,416.6666666666667,101.27465406287772,500,226,0.16808756585315943,0.14787524502567723,0.536413292886422,-0.02757307694209116,70.03648577214977,29.910120227719805,130.20046452381712,33.95190981435312,-0.043461,0.68704367,0.99984604,-0.9999051,6,70.03648577214977,20000,40,500.0,0.0,500,500,0.17543007496829585,0.10841706640314477,0.41569670069526543,-0.010662402085599263,87.71503748414793,46.420307544625814,156.70344408280408,24.89700973683766,87.71503748414793,46.420307544625814,156.70344408280408,24.89700973683766,-0.05482779,0.4822884,0.99333906,-0.9980551,5,87.71503748414793,0.012480753939598799,236.16140609886497,410.8547468360048,0.011280362028628588,0.006131163099780679,6.703578869113699,653.7496240830515,4080.732983550057,7
25800,0.00624711,0.004469611,3.5848122,2.8933973,0.6481863,4.757847,2.149543,2.8858967,0.63979053,4.7816515,2.1732266,2.8962631,0.64643586,4.6993575,2.1754177,6.5041246,5.4550753,19.392265,-5.405837,-0.45456547,1.5437878,3.0785165,-3.5690243,-0.43198442,0.2807752,0.2838457,-1.2073829,0.0011357881594449282,-3.3622324466705322,25800,53,500.0,0.0,500,500,0.338604116326013,0.13448042934737897,0.5355444087345125,-0.04137853630041946,169.3020581630065,30.989015662118994,213.88014601686584,116.54127836160552,-0.08068791,0.68818665,0.9988057,-0.9995622,5,169.3020581630065,22500,45,500.0,0.0,500,500,0.3388060672954208,0.07535642240812157,0.532103631548148,0.007147923172485626,169.40303364771052,12.806595953891371,187.57490155767462,155.92014744393023,169.40303364771052,12.806595953891371,187.57490155767462,155.92014744393023,-0.10405619,0.652359,0.9988551,-0.99914795,5,169.40303364771052,0.012663068948313594,386.4326912728138,654.0947981779464,0.011184151051566005,0.0065219649113714695,6.654807972023264,1047.2126666076947,5127.947295567952,8
28300,0.0046856115,0.0056816777,3.980523,3.229218,0.87037545,5.310438,2.12381,3.2498982,0.88242745,5.3683496,2.1687334,3.2368646,0.85622364,5.3545012,2.15325,7.252509,4.673534,20.787083,-1.6128081,-0.29287633,1.561728,3.8361993,-4.224099,-0.58306974,0.29871,0.21137503,-1.5083339,0.0011090149637311697,1.7181499004364014,28300,60,357.14285714285717,125.55525655654402,500,201,0.2726828674006341,0.12794066378035476,0.545434345540345,0.00861448204692549,97.3867383573693,18.029925497036178,134.05817109422622,74.6523455001406,-0.042503145,0.6742218,0.9993213,-0.99963576,7,97.3867383573693,25000,50,500.0,0.0,500,500,0.3479915096351925,0.09874171621326883,0.5505209443811417,0.006646899519099866,173.99575481759624,31.24682506006108,221.0314817848299,125.11309473293352,173.99575481759624,31.24682506006108,221.0314817848299,125.11309473293352,0.058239322,0.551457,0.99253386,-0.9969577,5,173.99575481759624,0.012740130070596933,415.97671151696704,760.787021502154,0.011205804999917746,0.005127378972247243,6.6229394669644535,1183.4157458001282,6311.364697129931,9
