replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,28.856258,28.901041,-5.2832575,0.00216056,0.0006271937,0.0035622213,0.00051659776,-0.0020312602,0.00068254623,-0.00036491966,-0.003461524,5.334042,0.6536794,6.835149,3.3493679,-5.2852583,0.6265087,-3.5955853,-6.7668295,-0.00044301653,0.0012306088,0.0018686255,-0.0027141806,0.00016735007,0.0019947935,0.0033695218,-0.0032086517,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.00034757223743003065,0.0005355047154205568,0.005356230154994113,3.000324583901648e-06,0.1737861187150153,0.10178524668207636,0.3576303874678943,0.05120682042255813,-0.0027768882,0.6252535,0.9989815,-0.99933356,5,0.1737861187150153,2500,5,500.0,0.0,500,500,0.002631079248105073,0.0013880952915845976,0.004723595042854679,0.000834453798048096,1.3155396240525359,0.6939993767259546,2.3506037426207738,0.4303886785203058,1.3155396240525359,0.6939993767259546,2.3506037426207738,0.4303886785203058,-0.0004137458,0.0012364637,0.0018419473,-0.0024758184,5,1.3155396240525359,0.012351931998637156,58.52962129300067,58.2428027729984,0.010963708000417682,0.010647005999999237,6.7823697549993085,123.58875646699744,225.25392608699804,0
8300,0.013211967,0.01270194,-8.583971,3.1888008,0.030888192,3.2439775,3.07959,3.1920242,0.025410544,3.2436392,3.0989099,3.2002583,0.10939916,3.6055257,2.9358392,-5.3989806,0.2880502,-4.69136,-6.5918612,-0.009860526,0.013592461,0.018784266,-0.03149588,-0.13111192,0.006735276,-0.12096385,-0.14471546,0.36741116642951965,-13.402656555175781,8300,17,500.0,0.0,500,500,0.0017750013509108225,0.0018791362685010807,0.009957750372810515,5.061350584401048e-06,0.8875006754554106,0.5797068412457197,1.8815535348101995,0.4088878326766029,-0.0053254515,0.5875506,0.9973769,-0.997487,5,0.8875006754554106,5000,10,500.0,0.0,500,500,0.00350321881374512,0.0038940782434558705,0.014818879257327989,4.313319818497475e-05,1.7516094068725603,1.665117310073898,4.781833732495279,0.26337899098421713,1.7516094068725603,1.665117310073898,4.781833732495279,0.26337899098421713,-0.009878514,0.013571296,0.018653424,-0.030504016,5,1.7516094068725603,0.012332275999142439,52.121282926000276,56.558345365001514,0.011303523999231402,0.0056110360001184745,6.805120827000792,115.51399595400108,340.7699641889958,1
10800,0.00165674,0.0015785935,-8.383177,2.9264498,0.021253185,2.9622061,2.8319917,2.9258683,0.018350499,2.9593406,2.8518095,2.9291668,0.04391037,3.0632915,2.8346763,-5.460574,0.336265,-4.503468,-6.895423,0.0013778263,0.0065089623,0.014576821,-0.012264673,-0.13399234,0.0058357064,-0.12265286,-0.14489196,0.13516269624233246,-26.924869537353516,10800,22,500.0,0.0,500,500,0.0007828971305061102,0.0011112175918777736,0.00614190511401439,3.894123094527746e-06,0.3914485652530549,0.36909533745301987,1.1076551592186064,0.10435893472060179,-0.0016763202,0.5849078,0.99634206,-0.99735105,5,0.3914485652530549,7500,15,500.0,0.0,500,500,0.0025608733732332585,0.0008871815658657195,0.004439310436803945,0.0011209335651065856,1.280436686616629,0.419843734214099,1.9133432813113458,0.7645746249294713,1.280436686616629,0.419843734214099,1.9133432813113458,0.7645746249294713,0.0013982424,0.006526151,0.01350789,-0.010761214,5,1.280436686616629,0.012340662000497105,65.31024441299996,56.40888945599909,0.015193052000540774,0.0072060069996950915,6.864074563998656,128.61794815399844,469.38984614599576,2
13300,0.00023631795,0.00024328733,-8.327236,2.8799381,0.01968924,2.9101498,2.798785,2.8804393,0.019164005,2.9110897,2.8061805,2.8785493,0.023097891,2.9368286,2.798252,-5.448849,0.327336,-4.5587378,-6.4218693,0.003221558,0.0028511593,0.008820063,-0.0013825882,-0.11699088,0.0048620026,-0.108425826,-0.1270571,0.049723267555236816,-40.35034942626953,13300,27,500.0,0.0,500,500,0.0018392668733614762,0.001903469811721714,0.010466799259258842,6.40561239403925e-05,0.9196334366807383,0.4988313912821882,1.7338740261453642,0.2680225024728022,0.006346595,0.5943265,0.99959725,-0.9997378,5,0.9196334366807383,10000,20,500.0,0.0,500,500,0.0024958249425339253,0.0006630374546779126,0.0035211009144479836,0.0013067697179725002,1.2479124712669623,0.31030539881166064,1.7110053683778024,0.7698040412466817,1.2479124712669623,0.31030539881166064,1.7110053683778024,0.7698040412466817,0.0032454338,0.0027920925,0.007891087,-0.001196205,5,1.2479124712669623,0.012427374000253621,55.09805040699939,54.56387519099917,0.013776855999822146,0.005295807000948116,6.725906788999055,116.41933242399864,585.8111609049938,3
15800,4.089843e-05,3.5553498e-05,-8.272749,2.8492894,0.021490391,2.8822193,2.7415872,2.849578,0.021260036,2.8828704,2.7510343,2.849268,0.021766461,2.8836102,2.7405179,-5.424466,0.30752346,-4.775429,-6.3397202,7.361156e-05,0.0060705696,0.01309797,-0.0076421066,-0.109933585,0.0038290173,-0.103453346,-0.12151631,0.018292639404535294,-53.701316833496094,15800,32,500.0,0.0,500,500,0.0017073057146540897,0.0021982559599186833,0.009492662204128111,1.3981978706834042e-05,0.8536528573270441,0.7962788448199586,2.222983550680179,0.13517136068953078,-0.0028159225,0.59425706,0.9976351,-0.995805,5,0.8536528573270441,12500,25,500.0,0.0,500,500,0.0018530079429487554,0.0008855989304454537,0.003592507114141286,0.0008082246396558302,0.9265039714743775,0.4316304850943143,1.4675678902682032,0.5617365029225403,0.9265039714743775,0.4316304850943143,1.4675678902682032,0.5617365029225403,8.527529e-05,0.0060433308,0.01250238,-0.006554767,5,0.9265039714743775,0.012485321998610743,55.50983042799999,68.792475784001,0.013790180000796681,0.007616373000928434,6.879609724999682,131.215807812001,717.0289971899983,4
18300,1.8671919e-05,1.2667586e-05,-8.300745,2.8170292,0.02372839,2.8594215,2.7393591,2.8168125,0.02398216,2.8592584,2.744906,2.8166668,0.02439572,2.857551,2.738324,-5.484777,0.3683531,-4.6848674,-6.8481007,0.0029211985,0.018173464,0.03200213,-0.031968955,-0.095535904,0.0028711616,-0.089775346,-0.10504761,0.00673151109367609,-67.42329406738281,18300,37,500.0,0.0,500,500,0.0015690946148862114,0.0025305552940653704,0.01733813904285364,2.677977695153544e-08,0.7845473074431053,0.760563125747742,2.282685973480148,0.2552675621428711,0.004447696,0.6015624,0.9984484,-0.99913585,5,0.7845473074431053,15000,30,500.0,0.0,500,500,0.0018762558523485906,0.0014435861480920744,0.00932671805997165,5.8428903112517364e-05,0.9381279261742954,0.46852968111576326,1.6679912378069233,0.4866771972941977,0.9381279261742954,0.46852968111576326,1.6679912378069233,0.4866771972941977,0.0029272486,0.018208547,0.0314655,-0.03140629,5,0.9381279261742954,0.012647705998460879,53.232244901999366,62.58137804100079,0.014087515999563038,0.006503733000499778,6.92295366000144,122.76981555800012,839.8007466399977,5
20800,9.58951e-06,7.4184522e-06,-8.175489,2.79417,0.021459078,2.8348644,2.7283688,2.7925696,0.021688696,2.8345091,2.7228577,2.7938147,0.021453282,2.8410118,2.7324736,-5.383131,0.4494612,-4.1879144,-6.5639253,0.0024182012,0.043751042,0.06875335,-0.07655145,-0.07028805,0.003641412,-0.06243889,-0.076764785,0.0024785571731626987,-80.28648376464844,20800,42,500.0,0.0,500,500,0.001328513873032604,0.0026527597981503815,0.016538693985838595,1.7509505467749874e-08,0.6642569365163024,0.8106263104798198,2.2624577617581094,0.08314354768780072,0.0014355814,0.60576826,0.99918664,-0.9986245,5,0.6642569365163024,17500,35,500.0,0.0,500,500,0.0006432032958831253,0.0011215765735226064,0.007286098655460294,2.8576412824943277e-08,0.3216016479415627,0.10324802111638108,0.48808758823684445,0.17793253918799518,0.3216016479415627,0.10324802111638108,0.48808758823684445,0.17793253918799518,0.0024133995,0.043245446,0.06770801,-0.075206496,5,0.3216016479415627,0.012272944999494939,54.2355766010005,61.791390103000595,0.011963356000705971,0.005094038999231998,6.4524564769999415,122.50875352100047,962.3115667409984,6
23300,0.00014768136,1.3776311e-05,-7.810624,2.7596269,0.05273598,2.8112493,2.443572,2.7561474,0.06362716,2.812714,2.3674936,2.7566657,0.062627524,2.8261268,2.3734512,-5.0552187,1.1128854,-1.6610937,-7.2621384,0.017604942,0.2353174,0.28380522,-0.47073397,0.011613243,0.028826138,0.10055511,-0.02894919,0.0009190672426484525,-91.27122497558594,23300,47,500.0,0.0,500,500,0.0003281632193492044,0.0010281935873562404,0.007425683302644481,2.5301982731207318e-14,0.16408160967460234,0.11397176512542002,0.3555431147326738,0.04792883469670804,0.012933813,0.6514341,0.9997737,-0.9997217,5,0.16408160967460234,20000,40,500.0,0.0,500,500,0.00020896545737931848,0.0007619020847790501,0.005289800048530347,4.3187675657918596e-15,0.10448272868965922,0.06792468217229054,0.22258728589175275,0.03522566872081237,0.10448272868965922,0.06792468217229054,0.22258728589175275,0.03522566872081237,0.015999487,0.2145272,0.27019048,-0.43366247,5,0.10448272868965922,0.012410272000124678,52.412967446998664,53.47023638800056,0.011348497000653879,0.006311194001682452,6.762262026999451,112.67553582500113,1074.9893861429991,7
25800,4.7934245e-05,5.4469754e-05,-4.9634285,2.6890502,0.16133286,2.7814825,2.032256,2.693738,0.15858209,2.783756,2.0403717,2.693966,0.16381265,2.7963412,2.0232408,-2.2726734,4.9158354,22.78349,-8.669736,0.20455715,0.70205194,2.3846989,-2.1747017,-0.014945269,0.13977902,0.26553285,-0.8123029,0.0003693757753353566,-81.18331146240234,25800,52,500.0,0.0,500,500,0.0003267143848356497,0.0015474452381161643,0.017264445735476752,2.0759816088400387e-11,0.1633571924178248,0.1271524333526919,0.35880256979088165,0.021022785390217062,0.17541394,0.63218296,0.9998078,-0.9991477,5,0.1633571924178248,22500,45,500.0,0.0,500,500,0.00015871255409248103,0.000647558833558053,0.0059702373948343325,7.68275443263633e-12,0.07935627704624051,0.03893931185363487,0.1465718606813041,0.040058752225552205,0.07935627704624051,0.03893931185363487,0.1465718606813041,0.040058752225552205,0.2111301,0.35109112,0.9055589,-0.79343903,5,0.07935627704624051,0.012538620998384431,55.454040917000384,57.254496536999795,0.013752790000580717,0.007238256001073751,6.745905873998709,119.48797299499893,1194.4793270469963,8
28300,5.565653e-05,2.6221458e-05,3.0843945,2.6380787,0.18284154,2.7658277,1.8643382,2.6424332,0.18417066,2.775583,1.8560243,2.6400106,0.18481204,2.7634788,1.8347054,5.7284966,6.242468,24.276207,-6.288407,0.11721859,1.5032549,2.8060338,-2.8751116,-0.28196752,0.19542544,0.2820659,-0.8728411,0.0002647479122970253,-18.709442138671875,28300,57,500.0,0.0,500,500,0.0006610300465052812,0.002159337081382566,0.01834764577342687,3.219646771412954e-14,0.3305150232526407,0.1785876198197843,0.6766832568061436,0.15987705539050592,0.10335315,0.7371924,0.9999497,-0.99981683,5,0.3305150232526407,25000,50,500.0,0.0,500,500,0.0002854481204586609,0.0009857904015690736,0.00775036702134424,3.65152352799214e-14,0.14272406022933037,0.025869873252878154,0.17299391461204353,0.11302376655686644,0.14272406022933037,0.025869873252878154,0.17299391461204353,0.11302376655686644,0.0704872,0.6880966,0.9955389,-0.9960285,5,0.14272406022933037,0.012391607999234111,58.65184133500043,54.1129536899989,0.011072375000367174,0.005041435000748606,6.859362838000379,119.65266328100006,1314.1337058039971,9
