replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,22.013145,22.064003,-4.6098704,0.0031429045,0.0017080934,0.007839322,-0.001356934,-0.0023281109,0.0012592736,0.0007289022,-0.005109272,4.656644,0.59837645,6.122742,2.8943758,-4.61234,0.5586556,-2.9903805,-5.769532,0.00016802117,0.001698475,0.004676371,-0.0024309738,0.00014710841,0.0013072871,0.0035158927,-0.00228781,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.012679251323017567,0.02161272000466597,0.2036432842786442,2.42815235130478e-05,6.339625661508782,5.218999172190398,15.919070919573146,0.748171266910346,-0.0025920216,0.6254808,0.9989515,-0.9993487,5,6.339625661508782,2500,5,500.0,0.0,500,500,0.0019211319813767609,0.0009199443887901086,0.003733316144215815,0.0008570896753800184,0.9605659906883808,0.4587594021757312,1.7948076430752087,0.47939021693240513,0.9605659906883808,0.4587594021757312,1.7948076430752087,0.47939021693240513,9.553155e-05,0.0017716706,0.004080624,-0.0015324146,5,0.9605659906883808,0.012898858985863626,75.72858699900098,61.32919485698221,0.01201600895728916,0.012948194984346628,7.580882949987426,144.67652786889812,254.15116356877843,0
8300,0.010197952,0.010221475,-7.5512686,2.8322196,0.04151304,2.9157457,2.6678512,2.8341665,0.045303874,2.9399054,2.63867,2.8367605,0.10456025,3.207508,2.5811167,-4.7250605,0.28242195,-3.9377146,-5.7236185,-0.007501037,0.014461595,0.01480214,-0.041009583,-0.12632485,0.009374969,-0.09695117,-0.14557974,0.36740076541900635,-11.728605270385742,8300,17,500.0,0.0,500,500,0.005347931104957177,0.008691351208005385,0.059001116508353435,4.223252881851991e-08,2.673965552478589,2.732161389643513,6.300293544270133,0.1161778610213264,-0.0051573836,0.58850366,0.9976489,-0.9970093,5,2.673965552478589,5000,10,500.0,0.0,500,500,0.007022659397205024,0.005375979052814865,0.02182624628752057,0.0013385494996317915,3.5113296986025127,1.9093523586397403,6.033004484610088,1.6786956716203645,3.5113296986025127,1.9093523586397403,6.033004484610088,1.6786956716203645,-0.0070033344,0.014060199,0.012348163,-0.034257717,5,3.5113296986025127,0.0128774149925448,63.21767815598287,63.049886239052285,0.012181190017145127,0.005305218975991011,6.878650470986031,133.17657869000686,387.32942432386335,1
10800,0.0014802204,0.0015627465,-7.3660336,2.6016123,0.033459708,2.6982007,2.511485,2.6022131,0.032975074,2.6721163,2.5150309,2.6033635,0.0486856,2.7281342,2.4641163,-4.7688303,0.3138292,-4.1054907,-6.172132,-0.002915787,0.009110932,0.019225424,-0.015489833,-0.13106667,0.007846239,-0.1101477,-0.14968164,0.13516072928905487,-23.54108238220215,10800,22,500.0,0.0,500,500,0.012366900596851318,0.017953769326412,0.09118196881240596,1.5627744098800633e-09,6.183450298425662,6.162673365623991,15.661769745382538,0.0384854975498989,-0.002832088,0.585252,0.9960606,-0.99750817,5,6.183450298425662,7500,15,500.0,0.0,500,500,0.0008070052774713162,0.00046501960368968613,0.0020395473220819137,0.00019598793500335,0.4035026387356579,0.058598905986998,0.46412617709180437,0.2967580986750541,0.4035026387356579,0.058598905986998,0.46412617709180437,0.2967580986750541,-0.003033897,0.009587307,0.016313098,-0.012760345,5,0.4035026387356579,0.012936789018567652,58.53331722598523,62.613101908005774,0.012177266995422542,0.006328115006908774,7.4482059690053575,128.62606727401726,515.9572892168653,2
13300,0.00027806492,0.00031170167,-7.3447657,2.5633202,0.030729614,2.645537,2.4677007,2.563786,0.031191412,2.6424396,2.4623463,2.5611217,0.032302573,2.6875713,2.4769359,-4.783728,0.2962817,-3.9799337,-5.5980844,-0.0012980466,0.0052549127,0.011915045,-0.014771928,-0.109644875,0.0058418876,-0.09243119,-0.12684321,0.0497237928211689,-35.35438919067383,13300,27,500.0,0.0,500,500,0.0015900712240271289,0.004154766572646121,0.03789274762299717,2.333994464365219e-09,0.7950356120135648,0.9388034703169583,2.3122597623811165,0.04031770559825366,0.0020293917,0.5966461,0.99959254,-0.9997575,5,0.7950356120135648,10000,20,500.0,0.0,500,500,0.002566895840152007,0.0006915339827765619,0.003548153293788059,0.000897112075302331,1.2834479200760036,0.304449327359354,1.6186217905198772,0.7267615459301303,1.2834479200760036,0.304449327359354,1.6186217905198772,0.7267615459301303,-0.0014720219,0.0055597425,0.010296209,-0.0097218985,5,1.2834479200760036,0.012643356982152909,59.78572421503486,58.20545378199313,0.012186902982648462,0.0069906110293231905,7.374506245017983,125.3975051130401,641.3565084948787,3
15800,0.00017305647,0.00013617557,-7.2596865,2.547168,0.041689236,2.6874478,2.4390748,2.5452714,0.041832834,2.6763139,2.4410334,2.5434256,0.039848626,2.683349,2.440898,-4.716367,0.33584023,-3.7239575,-5.6923385,-0.014427519,0.0270648,0.03691777,-0.08991553,-0.09182697,0.007985584,-0.06966847,-0.11321625,0.01829751767218113,-46.86536407470703,15800,32,500.0,0.0,500,500,0.011586781048333604,0.015075088720289266,0.07942990826333268,8.764724773735466e-08,5.793390524166803,4.981726368789474,12.775220707492275,0.12394313481767683,-0.015207384,0.6003697,0.99788815,-0.9959896,5,5.793390524166803,12500,25,500.0,0.0,500,500,0.030838654947814792,0.020829673522822983,0.08333241028681011,0.001010551946798488,15.419327473907401,5.8538465678583895,22.573800753193566,8.994669983429539,15.419327473907401,5.8538465678583895,22.573800753193566,8.994669983429539,-0.01519167,0.02681969,0.028346382,-0.07389526,5,15.419327473907401,0.012801530945580453,64.63605377799831,66.67064249998657,0.01232659799279645,0.005215735989622772,7.455243573000189,138.79228371591307,780.1504989428795,4
18300,0.00013478684,0.00012949621,-7.231918,2.5226188,0.04892848,2.6521003,2.4064682,2.5230415,0.049505502,2.6641793,2.4005582,2.5228453,0.048025474,2.643381,2.4031098,-4.7111864,0.5770933,-3.0874035,-6.10868,-0.018132424,0.11566904,0.3545716,-0.31969476,-0.05421161,0.018580528,0.011911359,-0.1050418,0.0067464374005794525,-58.529544830322266,18300,37,500.0,0.0,500,500,0.012747303696445412,0.018202195288752124,0.18581335789157097,6.902932387586881e-07,6.373651848222709,2.2882866245092,10.123314910849384,3.629279946019232,-0.008319781,0.61542344,0.9988898,-0.99851483,5,6.373651848222709,15000,30,500.0,0.0,500,500,0.05392780063816789,0.025846686087713334,0.18381517334388425,7.080769304224077e-12,26.963900319083944,3.4398521295850775,30.739453008954644,20.840438590675316,26.963900319083944,3.4398521295850775,30.739453008954644,20.840438590675316,-0.017751051,0.08962633,0.27023485,-0.2796426,5,26.963900319083944,0.012703865009825677,87.60066373995505,60.70456944801845,0.012302682036533952,0.005241591017693281,7.378359398979228,155.71384072501678,935.866426554916,5
20800,0.00028802885,0.00021361152,-6.1552124,2.5046873,0.055682827,2.6620634,2.3753533,2.5039675,0.05572679,2.6773758,2.3704689,2.5078168,0.05619215,2.7255964,2.3910844,-3.6480389,1.5907079,0.70339096,-6.9701233,-0.069464155,0.4687696,1.2733445,-1.4652174,-0.0038587297,0.08206931,0.18445726,-0.26931348,0.00253436085768044,-63.64192581176758,20800,42,500.0,0.0,500,500,0.0037965214653540138,0.008928683345549776,0.06545071323962078,4.288907007321541e-11,1.8982607326770058,1.065475153884256,3.241279676891611,0.705650144780913,-0.033351965,0.67132396,0.9997387,-0.99983007,5,1.8982607326770058,17500,35,500.0,0.0,500,500,0.00035110954193407027,0.0012909755628107654,0.013363428384661868,4.874411985156257e-11,0.17555477096703515,0.08812988054033005,0.31966666764482576,0.059321939238393115,0.17555477096703515,0.08812988054033005,0.31966666764482576,0.059321939238393115,0.037897322,0.3813732,0.9367317,-0.9729443,5,0.17555477096703515,0.012894239975139499,63.558470517979,71.40354792500148,0.012331666017416865,0.008567026001401246,7.404409815033432,142.40022119000787,1078.2684752190253,6
23300,0.00017897945,0.00020183805,-2.7177243,2.515389,0.07452075,2.743755,2.341145,2.5178409,0.073049925,2.737349,2.3681707,2.513997,0.07292187,2.74158,2.3373094,-0.19624054,3.0876946,9.677627,-7.0417047,-0.061968762,0.9608882,2.3950398,-2.6049843,-0.089060135,0.1949162,0.35619268,-0.6299046,0.0010908344993367791,-49.079071044921875,23300,47,500.0,0.0,500,500,0.008357040169512907,0.014207909588362393,0.08375207846600552,7.070006191600697e-09,4.178520084756452,2.984499748604404,9.484181113193173,1.4573743805181474,-0.0028194406,0.7142344,0.9997932,-0.9998457,5,4.178520084756452,20000,40,500.0,0.0,500,500,0.002617866147355449,0.008866188832636256,0.08759294631156625,9.820402533389228e-08,1.3089330736777234,1.6514326460483113,4.471199807626186,0.08542111855280893,1.3089330736777234,1.6514326460483113,4.471199807626186,0.08542111855280893,-0.112475865,0.5460738,0.9994167,-0.99666977,5,1.3089330736777234,0.016809402033686638,63.83607437997125,69.28088501800084,0.012401535001117736,0.007662457996048033,7.586356444982812,140.74018923798576,1219.0103744330117,7
25800,0.0003525064,0.00028869242,1.030644,2.5011997,0.08813399,2.7076385,2.2600963,2.490336,0.08440639,2.693859,2.2521484,2.4941912,0.08551579,2.6997466,2.258498,3.53202,3.921881,17.008137,-4.030405,-0.12864785,1.380204,2.8311732,-3.1431117,-0.22962603,0.27446786,0.5687745,-1.0562565,0.0005737633327953517,-25.880836486816406,25800,52,500.0,0.0,500,500,0.013930789251826826,0.014969111739548588,0.08394912682420726,5.48275653122765e-07,6.965394625913413,2.325726729438352,9.185220011997805,2.4901707066886987,-0.14243393,0.73188597,0.9999937,-0.9999895,5,6.965394625913413,22500,45,500.0,0.0,500,500,0.016472520690472156,0.019699526591516893,0.09363579502900424,3.5747398965391145e-07,8.23626034523608,5.271342768807089,15.180033498437632,2.832245812220216,8.23626034523608,5.271342768807089,15.180033498437632,2.832245812220216,-0.09357321,0.7111664,0.99931556,-0.9998247,5,8.23626034523608,0.01291216496611014,92.65933834802127,71.7717013360234,0.012237821007147431,0.00516054400941357,7.019176925008651,171.48052713903598,1390.49261867709,8
28300,0.0007000606,0.000387978,1.754184,2.5081348,0.0911018,2.7464309,2.1441634,2.5015898,0.09205223,2.737579,2.1607435,2.4909112,0.094450295,2.7461355,2.1817906,4.2681417,4.3860683,15.922182,-5.4562626,-0.04128923,1.4662645,3.3503125,-3.8535972,-0.24477923,0.27684748,0.51920223,-0.93312573,0.0003765107539948076,-21.538677215576172,28300,57,500.0,0.0,500,500,0.034103315935533646,0.03918928982728021,0.19846499606030005,0.0013835100294952276,17.051657967766815,12.02299955263315,37.152871926315825,4.50953506948868,-0.012657998,0.68869215,0.9995263,-0.9995682,5,17.051657967766815,25000,50,500.0,0.0,500,500,0.031739365827263756,0.022544541594417954,0.18693115946483277,0.0007586371534739289,15.86968291363188,0.6899379991335488,17.20976986237424,15.27650008682147,15.86968291363188,0.6899379991335488,17.20976986237424,15.27650008682147,-0.022724917,0.5898657,0.99616987,-0.998856,5,15.86968291363188,0.012696151970885694,85.92631602904294,94.16253383801086,0.012375516991596669,0.005274700000882149,7.242347257968504,187.36154349398566,1577.855939435016,9
