replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Bellman Errors 1 Mean,trainer/Bellman Errors 1 Std,trainer/Bellman Errors 1 Max,trainer/Bellman Errors 1 Min,trainer/Bellman Errors 2 Mean,trainer/Bellman Errors 2 Std,trainer/Bellman Errors 2 Max,trainer/Bellman Errors 2 Min,trainer/Policy Action Mean,trainer/Policy Action Std,trainer/Policy Action Max,trainer/Policy Action Min,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,0.00014198195,0.000112277485,0.018601002,0.0010691407,0.00023737305,0.0017026627,0.000413578,-0.00026514533,0.0003886766,0.0005903299,-0.0018331062,-0.010664087,0.0020517744,-0.0036180215,-0.013405636,0.00014198195,4.3610074e-05,0.00021492537,2.2804012e-05,0.000112277485,3.8698738e-05,0.00019269767,1.6511283e-05,0.0018042864,0.003946383,0.011421826,-0.0034774253,5800,12,500.0,0.0,500,500,0.0023510300018478253,0.0019296592974466457,0.006967600492952641,0.0003557045594873576,1.175515000923913,0.9060985203669927,2.683872612687984,0.33839060767992085,0.002563890877601968,0.09991861545400947,0.37822574015442917,-0.40734528665267367,5,1.175515000923913,2500,5,500.0,0.0,500,500,0.001643861406060196,0.00042436607762633014,0.003061362145832558,0.001056844929002998,0.8219307030300982,0.17905175166360107,1.0277922050863464,0.5610945662617758,0.8219307030300982,0.17905175166360107,1.0277922050863464,0.5610945662617758,0.0018813217,0.004046761,0.010207168,-0.0028104642,5,0.8219307030300982,0.011159442000007402,70.71309840799995,60.86217117200022,0.009847172999798204,0.0063031260001480405,3.2100078150001536,134.81258713600027,221.4546770259999,0
8300,1.9370813e-05,3.4432247e-05,0.0073249466,0.00089517207,0.0039958893,0.013210329,-0.004173222,0.0012365496,0.0060120677,0.026638485,-0.005236717,-0.0017682037,0.002709233,0.0072121145,-0.0056353775,1.9370811e-05,3.3761527e-05,0.00014552816,4.115009e-11,3.4432243e-05,8.6231186e-05,0.0005063894,8.318671e-11,0.16493432,0.782976,0.99998707,-0.99940115,8300,17,500.0,0.0,500,500,0.0003253511977727229,0.0011445266145920876,0.008458546131044487,1.1501910535116623e-14,0.16267559888636143,0.08848795728802118,0.3194316482281124,0.06823970994646626,0.13909445882064767,0.7564154438990619,1.0,-1.0,5,0.16267559888636143,5000,10,500.0,0.0,500,500,0.0003888427704090556,0.0016509727787489574,0.022609135499424473,3.1152858070981895e-14,0.19442138520452779,0.09487881724216529,0.32448609811461426,0.07426855690010035,0.19442138520452779,0.09487881724216529,0.32448609811461426,0.07426855690010035,0.13601123,0.76920384,1.0,-0.99999994,5,0.19442138520452779,0.011090227999829949,58.70627919599974,67.93261793600004,0.010102211999765132,0.0035896609997507767,3.2853512980000232,129.94903053099915,351.4053244549996,1
10800,2.549604e-07,2.63259e-06,-0.00039496814,-0.00048791606,0.00362709,0.0105212815,-0.007466101,4.9353082e-05,0.0036404603,0.010144022,-0.007488236,-0.0004354156,0.003644124,0.011047359,-0.007288835,2.549604e-07,1.0446969e-06,1.0805671e-05,5.9051396e-11,2.6325902e-06,4.5240117e-06,1.6928672e-05,2.2052067e-12,-0.5850779,0.63848853,0.99999577,-1.0,10800,22,500.0,0.0,500,500,1.431635662499031e-05,0.00016129263570014896,0.0034284797415270575,5.88418203051333e-16,0.00715817831249516,0.003911512318469949,0.013708782166697646,0.0034382965949044755,-0.5225744618846587,0.6932188932676666,1.0,-1.0,5,0.00715817831249516,7500,15,500.0,0.0,500,500,1.1498919723406523e-05,0.00011426296604545874,0.0023642120841427918,2.7755575615628914e-16,0.005749459861703216,0.0027145523982061593,0.010498911669042472,0.0031646893799250784,0.005749459861703216,0.0027145523982061593,0.010498911669042472,0.0031646893799250784,-0.5399512,0.71485615,0.99990857,-0.99999994,5,0.005749459861703216,0.0109214880003492,56.748744548000104,58.46100840000008,0.010145964000003005,0.003576736000013625,3.002509709000151,118.2369068450007,469.6438072859996,2
13300,6.270222e-06,6.706979e-06,-0.002213293,0.00079750316,0.004611757,0.013999226,-0.007417033,0.00090694503,0.0048620775,0.014331085,-0.0073145395,0.0008096687,0.0053184596,0.02989162,-0.007490768,6.270222e-06,6.111903e-05,0.0006939606,2.1352373e-12,6.7069786e-06,6.382346e-05,0.0007244474,2.5574074e-13,-0.1351694,0.7983374,0.9999927,-1.0,13300,27,500.0,0.0,500,500,0.003129370993622219,0.008785337520087024,0.07948100962956023,2.2093438190040618e-15,1.5646854968111106,1.1058109128419553,3.6410542907890777,0.3285068393258673,-0.0503649818440774,0.8442838876814492,1.0,-1.0,5,1.5646854968111106,10000,20,500.0,0.0,500,500,0.0024991010982502084,0.008936322902912103,0.07490523590192492,4.848343948538059e-14,1.2495505491251044,1.0390261030150885,3.2893458549328916,0.44797740528110014,1.2495505491251044,1.0390261030150885,3.2893458549328916,0.44797740528110014,-0.020148749,0.852444,0.99997985,-1.0,5,1.2495505491251044,0.011036518000310025,59.72380111400025,61.71810452099999,0.009992563999730919,0.003569140999843512,3.080045818999679,124.5465496769998,594.1921168579997,3
15800,5.6714252e-06,4.731907e-06,-0.0040151733,0.0042894864,0.009443425,0.041477174,-0.010203872,0.0043951105,0.009465476,0.041966602,-0.008446582,0.0041576247,0.008917408,0.033881024,-0.009217582,5.6714252e-06,3.434419e-05,0.00034314487,5.988054e-12,4.7319068e-06,3.4764926e-05,0.00036151693,8.8401996e-14,-0.14285715,0.98974335,1.0,-1.0,15800,32,500.0,0.0,500,500,4.5575213876793395e-05,0.00026811231185916505,0.00426335198485851,1.0103029524088924e-15,0.0227876069383967,0.01076033262367491,0.03775502223260845,0.007039553482988564,-0.13694258283773864,0.952613365645713,1.0,-1.0,5,0.0227876069383967,12500,25,500.0,0.0,500,500,7.055600157809733e-05,0.0004729576967752656,0.007549547896996201,6.217248937900877e-16,0.035278000789048684,0.03669039824690448,0.0997395613863452,0.005943174553465807,0.035278000789048684,0.03669039824690448,0.0997395613863452,0.005943174553465807,-0.14285715,0.98974335,1.0,-1.0,5,0.035278000789048684,0.0110239239998009,58.67562217400018,56.66045832000009,0.01024314599999343,0.00407144300015716,3.3856252519999543,118.74704425900018,712.9408437669999,4
18300,9.028848e-07,8.028179e-07,-0.0050523523,0.0052593853,0.01617776,0.1564602,-0.008908149,0.005461497,0.016536128,0.160148,-0.008653857,0.00564727,0.016304301,0.15511817,-0.0087972935,9.028847e-07,1.8733975e-06,1.1154209e-05,6.1241338e-12,8.0281785e-07,2.5690804e-06,2.5299163e-05,2.560784e-10,-0.14285715,0.98974335,1.0,-1.0,18300,37,500.0,0.0,500,500,6.203026575562783e-05,0.00026515759397417103,0.002610767254745539,3.1086244689504386e-16,0.031015132877813927,0.027055260096015114,0.08116596074293042,0.00496922431866844,-0.1370370947333365,0.9519343815462903,1.0,-1.0,5,0.031015132877813927,15000,30,500.0,0.0,500,500,7.980390025063789e-05,0.0004915492515575404,0.007627427044760449,8.104628079763644e-16,0.039901950125318955,0.0289733026350947,0.0807897077498236,0.007460749936092248,0.039901950125318955,0.0289733026350947,0.0807897077498236,0.007460749936092248,-0.14285715,0.98974335,1.0,-1.0,5,0.039901950125318955,0.011042850000194449,59.387290773999666,59.89859417200023,0.010073142999772244,0.0035682080001606664,3.1587793889998466,122.46934853599987,835.4121190910009,5
20800,1.207238e-06,1.542865e-06,-0.0059668785,0.0064968965,0.014491983,0.1238568,-0.0073265964,0.0064732917,0.014680406,0.123001166,-0.00807187,0.006560676,0.013802611,0.113324866,-0.0073607564,1.2072379e-06,9.764963e-06,0.000110921595,1.9528671e-13,1.542865e-06,8.581898e-06,9.3630784e-05,6.4444555e-10,-0.14285715,0.98974335,1.0,-1.0,20800,42,500.0,0.0,500,500,6.540908227859005e-05,0.0004370021041255177,0.006532102158814269,5.440092820663267e-16,0.032704541139295024,0.017205459776212236,0.05191656906960393,0.006897197303218065,-0.13674707089823257,0.9518208165991111,1.0,-1.0,5,0.032704541139295024,17500,35,500.0,0.0,500,500,3.9492951140119296e-05,0.00032057364591797416,0.00654010253885674,2.886579864025407e-16,0.019746475570059673,0.01635413568677063,0.050020900924394394,0.005138713922424957,0.019746475570059673,0.01635413568677063,0.050020900924394394,0.005138713922424957,-0.14285715,0.98974335,1.0,-1.0,5,0.019746475570059673,0.011051146999307093,58.063286734999565,57.61138239999946,0.010121594999873196,0.003559490000043297,3.040609907000544,118.74001127399879,954.1538015239989,6
23300,9.607483e-07,1.5875919e-06,-0.0063777333,0.006439766,0.011661976,0.08497296,-0.006163832,0.006637101,0.011722732,0.08812271,-0.005799705,0.0057872413,0.011554334,0.083535336,-0.0070919073,9.607483e-07,2.3579146e-06,2.3374256e-05,1.5065291e-09,1.5875918e-06,4.260529e-06,3.776069e-05,1.3878829e-09,-0.14285715,0.98974335,1.0,-1.0,23300,47,500.0,0.0,500,500,0.00010434671474227541,0.0005242801275762887,0.008393528543075346,2.331468351712829e-16,0.05217335737113772,0.05518857216169426,0.1401205035068517,0.0030716148607184738,-0.13722015217133304,0.9512997165257063,1.0,-1.0,5,0.05217335737113772,20000,40,500.0,0.0,500,500,7.515958106995051e-05,0.0004333378491882674,0.00822176718394978,8.43769498715119e-16,0.03757979053497525,0.022851213228183773,0.07469151636540686,0.006775013186230657,0.03757979053497525,0.022851213228183773,0.07469151636540686,0.006775013186230657,-0.14285715,0.98974335,1.0,-1.0,5,0.03757979053497525,0.011067398000704998,60.218681149000076,57.04068716199981,0.012381055000332708,0.0035638929994092905,3.0475482579995514,120.33392891499989,1074.4894076429987,7
25800,9.0934077e-07,8.2638365e-07,-0.0065863812,0.0069407118,0.015608929,0.11220376,-0.008349894,0.007310182,0.015497955,0.11209019,-0.0072875633,0.0072716502,0.015228877,0.11188401,-0.007935941,9.0934077e-07,4.945996e-06,5.603608e-05,3.1017203e-13,8.263837e-07,5.5511896e-06,6.282612e-05,6.46436e-14,-0.14285715,0.98974335,1.0,-1.0,25800,52,500.0,0.0,500,500,4.0899670613988375e-05,0.0002949515342317167,0.004955584829422799,3.885780586188048e-16,0.020449835306994197,0.008089578481474685,0.03145362967725453,0.007719261314951467,-0.13711495171539329,0.9520521951629227,1.0,-1.0,5,0.020449835306994197,22500,45,500.0,0.0,500,500,6.630062007249744e-05,0.00037510186493103833,0.006328328211918322,1.765254609153999e-15,0.0331503100362487,0.020971452392530576,0.073169052389693,0.01625798930513227,0.0331503100362487,0.020971452392530576,0.073169052389693,0.01625798930513227,-0.14285715,0.98974335,1.0,-1.0,5,0.0331503100362487,0.01098121299946797,62.30395424300059,58.40550610799983,0.010071159999824886,0.0036388320004334673,3.433643475000281,124.16779503100042,1198.6590899649987,8
28300,8.92476e-06,1.1967502e-05,-0.008581519,0.007847897,0.01739924,0.121391475,-0.0066460078,0.007841796,0.017322322,0.11595569,-0.0069795144,0.007769893,0.019538105,0.15151252,-0.0069820615,8.924758e-06,8.0342674e-05,0.0009072772,3.585765e-12,1.1967501e-05,0.000111517074,0.0012642882,1.1928559e-12,-0.14285715,0.98974335,1.0,-1.0,28300,57,500.0,0.0,500,500,3.7050606467532856e-05,0.0002219612656596437,0.0041233712174147735,4.218847493575595e-16,0.018525303233766444,0.010679295357070483,0.036863282064490445,0.0063039320901368216,-0.13743892921241782,0.951992652465721,1.0,-1.0,5,0.018525303233766444,25000,50,500.0,0.0,500,500,4.3187518693120666e-05,0.0003068943816697829,0.00496416804396167,3.885780586188048e-16,0.021593759346560333,0.014574921468480039,0.03953849938774712,0.004116966071778544,0.021593759346560333,0.014574921468480039,0.03953849938774712,0.004116966071778544,-0.14285715,0.98974335,1.0,-1.0,5,0.021593759346560333,0.011070872000345844,56.418255918000796,56.410631886000374,0.010033936000581889,0.005023364999942714,3.6501611569992747,116.50517713400131,1315.166310531999,9
