replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
58,7.4561744,7.4754086,-2.7033498,-0.0006377634,0.0009972889,0.001391564,-0.0025907655,-0.00421267,0.00045499054,-0.003198828,-0.0052481177,2.6924005,0.45128167,3.61537,1.871767,-2.7076607,0.40331158,-1.5665525,-3.7996945,0.00097328174,0.0018349829,0.003051249,-0.0024344816,0.000115735835,0.0009025624,0.0013155197,-0.0017545694,0.9990004897117615,-0.0,58,12,5.0,0.0,5,5,0.043240473899526226,0.07094489684655991,0.2,6.493740089728029e-05,0.2162023694976311,0.1407674878293853,0.43262010311221627,0.006444966519978867,-0.032544155,0.61099553,0.9805965,-0.98864645,5,0.2162023694976311,25,5,5.0,0.0,5,5,0.15930081731475235,0.06529398426975377,0.2,0.04895890915112803,0.7965040865737616,0.19717311956324282,1.0,0.5550115102735785,0.7965040865737616,0.19717311956324282,1.0,0.5550115102735785,0.0009997603,0.001874274,0.0027203897,-0.0022276542,5,0.7965040865737616,0.00014633906539529562,372.0418794649886,318.49275745195337,0.0009157679742202163,0.010268399026244879,7.257655680994503,697.8036231040023,1107.5852255141363,0
83,0.011560103,0.012324348,-4.478896,1.7197886,0.045842055,1.885834,1.653406,1.7158849,0.049394045,1.8798279,1.5713401,1.688158,0.10361069,1.9791375,1.4577538,-2.7529085,0.29541436,-2.0127769,-3.7507856,-0.043490257,0.03488125,0.033176176,-0.12659216,-0.114941925,0.010535264,-0.098477125,-0.14427282,0.36746853590011597,-6.753706932067871,83,17,5.0,0.0,5,5,0.048328950312111124,0.07752197022400535,0.2,1.844248461884135e-05,0.24164475156055562,0.17444187063093794,0.44816498679369254,0.03956025059259407,0.07051837,0.54571587,0.9458972,-0.9742596,5,0.24164475156055562,50,10,5.0,0.0,5,5,0.06683387930692136,0.06659461097390607,0.2,0.03014357676468911,0.33416939653460687,0.005457564401500246,0.33851700513696714,0.3234259111420124,0.33416939653460687,0.005457564401500246,0.33851700513696714,0.3234259111420124,-0.05857834,0.024913227,-0.03665219,-0.11540615,5,0.33416939653460687,0.00015358405653387308,286.10298047796823,326.80148116801865,0.0009634529706090689,0.005318231997080147,6.939889468019828,619.8507863830309,1727.4375865042675,1
108,0.08585828,0.08108045,-3.471678,1.6386179,0.27394682,2.9388828,1.443121,1.6458919,0.26526353,2.8633325,1.433653,1.5900396,0.13358094,2.4764075,1.2658066,-1.6459615,1.940503,4.572037,-4.453258,-0.30553475,0.50037646,0.4559923,-1.52613,-0.18478908,0.12375978,-0.016182413,-0.45373416,0.13995738327503204,-11.097492218017578,108,22,5.0,0.0,5,5,0.0364027956085693,0.06263101814681213,0.2,4.7524674274623814e-05,0.18201397804284652,0.1532859114044504,0.4658917142758879,0.048897614705512564,-0.114426516,0.61106426,0.9705349,-0.98097736,5,0.18201397804284652,75,15,5.0,0.0,5,5,0.0387347583950084,0.022717903996543463,0.07346190260886336,0.0014413005200665464,0.19367379197504206,0.0005629929346610418,0.19453994767708405,0.19287887453785718,0.19367379197504206,0.0005629929346610418,0.19453994767708405,0.19287887453785718,-0.12834619,0.36529902,0.33899513,-0.8886618,5,0.19367379197504206,0.0001545159611850977,275.6432689250214,317.08171631302685,0.0013627890730276704,0.00721627299208194,6.931171478005126,599.6648902940797,2327.104077020311,2
133,0.006077282,0.0075557786,-3.781326,1.6039788,0.08234558,1.8625771,1.4607886,1.607413,0.08670661,1.8794885,1.4715041,1.586416,0.08348443,1.8169296,1.4320401,-2.1456218,1.0579007,0.26248068,-5.768541,0.0031931838,0.3256274,1.4145831,-1.0418695,-0.25507593,0.46453172,0.13382873,-1.2111055,0.05201929435133934,-18.161569595336914,133,27,5.0,0.0,5,5,0.04816143938250594,0.0769894307744467,0.2,0.0001310244871085775,0.2408071969125297,0.023863565308547507,0.2827438457469627,0.21093431220215456,0.007940689,0.59644985,0.99243814,-0.9712679,5,0.2408071969125297,100,20,5.0,0.0,5,5,0.04423541186007224,0.07793577124870786,0.2,0.001659175658226886,0.2211770593003612,0.008777321553366198,0.2345701300348867,0.2136983002016223,0.2211770593003612,0.008777321553366198,0.2345701300348867,0.2136983002016223,-0.08192014,0.21427041,0.40185323,-0.5358435,5,0.2211770593003612,0.0001517001073807478,313.9107846240513,322.03848619107157,0.00138423393946141,0.00779407809022814,6.8989508140366524,642.8575516412966,2969.9634936915245,3
158,0.023287589,0.018261008,-0.10208221,1.711369,0.15648942,2.3175628,1.4992064,1.7200851,0.15537523,2.3034294,1.5013005,1.6854678,0.15938969,2.557477,1.4198433,1.7919856,2.412377,9.643598,-5.224843,0.29641008,0.96078765,2.4708478,-2.0626256,-0.79805946,0.7905882,0.21937291,-2.5287151,0.02403583936393261,-8.230764389038086,158,32,5.0,0.0,5,5,0.05164901884331059,0.08445106410188331,0.2,1.4535628336076468e-05,0.258245094216553,0.07775684890471495,0.40493466684512236,0.20417024559191682,0.166161,0.6584248,0.9962034,-0.9978863,5,0.258245094216553,125,25,5.0,0.0,5,5,0.04058789309639202,0.07971239486472,0.2,2.2347592237403904e-06,0.20293946548196012,0.002685785618296908,0.2080401077149531,0.20061686332245865,0.20293946548196012,0.002685785618296908,0.2080401077149531,0.20061686332245865,0.13702449,0.7092319,0.9838182,-0.95097303,5,0.20293946548196012,0.00014687597285956144,332.84660105092917,314.0401580829639,0.001051540020853281,0.005403714952990413,7.063648774055764,653.9570100388955,3623.922138661379,4
183,0.012331896,0.01045924,1.4916854,1.7959342,0.1265804,2.0975482,1.5615911,1.7751484,0.12469022,2.1390243,1.5281409,1.7557333,0.09029364,1.9620711,1.5135293,3.4047232,2.3108904,9.177591,-1.6371257,-0.11180408,1.089215,2.0703726,-2.3772712,-1.1564231,0.92436635,-0.081223145,-3.1488886,0.014060769230127335,-2.5383262634277344,183,37,5.0,0.0,5,5,0.06477475308182469,0.08576780406486104,0.2,4.765255845577965e-05,0.32387376540912344,0.1096907399461491,0.49032034185929724,0.21254956324697757,-0.033713885,0.67044234,0.9775442,-0.99950975,5,0.32387376540912344,150,30,5.0,0.0,5,5,0.04217457329590123,0.07897001766114148,0.2,0.00020150449353253388,0.21087286647950615,0.0009158177537819747,0.21215897157525965,0.20964042188046347,0.21087286647950615,0.0009158177537819747,0.21215897157525965,0.20964042188046347,0.024175573,0.62545455,0.87837493,-0.9525647,5,0.21087286647950615,0.00014963001012802124,320.97094016405754,348.84779950103257,0.00095293705817312,0.005419914028607309,6.8215443739900365,676.646806520177,4300.5705445224885,5
208,0.008162193,0.008816503,2.081711,1.838187,0.106534354,2.0838687,1.5053067,1.8069942,0.1038858,2.0276392,1.4841692,1.81758,0.12305826,2.0838869,1.1520122,4.0288243,2.0658748,7.7575464,-2.006569,0.3195238,0.96199435,2.3297613,-1.9392711,-1.5535387,0.98173565,0.42292187,-3.507101,0.009171759709715843,0.1352323591709137,208,42,5.0,0.0,5,5,0.04666592920613676,0.07087566861263636,0.2,2.1770998641201802e-06,0.2333296460306838,0.0902216598562739,0.2999215012514142,0.05602466901748255,0.1441,0.5551166,0.9908199,-0.984368,5,0.2333296460306838,175,35,5.0,0.0,5,5,0.06143009352432662,0.07274959507887893,0.2,1.552960978368212e-06,0.30715046762163306,0.025686472268349882,0.3524312339325071,0.272731170039872,0.30715046762163306,0.025686472268349882,0.3524312339325071,0.272731170039872,0.08440072,0.62076586,0.97809434,-0.9619015,5,0.30715046762163306,0.00015269010327756405,362.0282767791068,405.3292676449055,0.0009553739801049232,0.0053509039571508765,6.917846177937463,774.2818495699903,5074.853983437177,6
233,0.007221261,0.007866204,2.2524443,1.8715665,0.13692178,2.291295,1.531469,1.8738654,0.13540123,2.3713815,1.5233933,1.8671036,0.14057305,2.65036,1.5414512,4.2783666,2.2183666,8.36079,-1.9952817,0.14619029,1.0071409,2.4480126,-1.9325998,-1.6012334,1.0533615,-0.16796014,-3.8377721,0.009572595357894897,1.2941198348999023,233,47,5.0,0.0,5,5,0.10941118750832109,0.26814587090709907,1.0,3.268231293873658e-05,0.5470559375416055,0.37884468198440446,1.012901542116842,0.20206708883199462,-0.012089011,0.61979645,0.98816377,-0.99073154,5,0.5470559375416055,200,40,5.0,0.0,5,5,0.07527594287540373,0.19632996769348038,1.0,1.3129133078015888e-05,0.37637971437701867,0.3130433439193838,1.0022047170192931,0.2035525713799633,0.37637971437701867,0.3130433439193838,1.0022047170192931,0.2035525713799633,0.03181493,0.6193997,0.9570779,-0.9555337,5,0.37637971437701867,0.00014526897575706244,318.04494783398695,305.1758492459776,0.000964545994065702,0.005815020063892007,7.049125108984299,630.2768470239826,5705.132485392271,7
258,0.018144825,0.018775415,2.3027544,1.9473147,0.20850661,2.7262464,1.5457424,1.9438775,0.2118935,2.731997,1.5542065,1.912303,0.16866548,2.6637022,1.5409367,4.4270353,2.3607254,8.754755,-3.161465,-0.080336414,0.8769431,2.436488,-2.060545,-1.8763437,0.90902513,-0.27799147,-3.8205395,0.012462885119020939,1.8726997375488281,258,52,5.0,0.0,5,5,0.07344030632982572,0.19967139756013041,1.0,1.5594250881378891e-06,0.36720153164912855,0.3185637577617118,1.00115952018138,0.16569300652003185,-0.021946874,0.64009756,0.989035,-0.9806019,5,0.36720153164912855,225,45,5.0,0.0,5,5,0.07795934436632888,0.20125384085192397,1.0,1.3381732134276626e-06,0.38979672183164443,0.3073331282241199,1.0006084587799566,0.20049382716196515,0.38979672183164443,0.3073331282241199,1.0006084587799566,0.20049382716196515,0.0019064817,0.6108763,0.9606431,-0.9584795,5,0.38979672183164443,0.00014980800915509462,316.91216999897733,338.8266420259606,0.0009545519715175033,0.005787604954093695,7.055073317955248,662.800777307828,6367.934836894274,8
283,0.003793283,0.004535598,2.4472606,1.9612535,0.17299701,2.2150366,1.4710445,1.9661465,0.17279029,2.225691,1.4776993,1.9652588,0.17655706,2.2570567,1.5299215,4.5540295,2.8027945,10.8139305,-4.943611,-0.07355081,0.90999913,2.4004648,-2.6645439,-1.8711826,0.9746304,0.552508,-4.632477,0.011908261105418205,2.455084800720215,283,57,5.0,0.0,5,5,0.09896628137458523,0.09160136212257061,0.2,6.693070213059649e-07,0.49483140687292615,0.2375684964640204,0.8706075609955124,0.24825061456143713,-0.13384324,0.55224735,0.98125416,-0.98776525,5,0.49483140687292615,250,50,5.0,0.0,5,5,0.06002005843774959,0.08115918658725994,0.2,5.4108430749699735e-05,0.300100292188748,0.0579426013179302,0.41578341213399583,0.26588745813391607,0.300100292188748,0.0579426013179302,0.41578341213399583,0.26588745813391607,-0.15000077,0.5586522,0.9049451,-0.97867835,5,0.300100292188748,0.00015118997544050217,313.82405055803247,322.6954611099791,0.0013491250574588776,0.006924899993464351,6.4521232169354334,642.9800600999733,7010.916583378334,9
